alteracao_do_aparelho_digestivo|aperto_no_peito,"Então, eu vim mais pra checar e não deixar acumular. Dá uma sensação de opressão no peito que me assusta um pouco. Tenho refluxo e queimação depois de comer. Eu não sei se é estresse, mas tem me incomodado bastante."
alteracao_do_aparelho_cardiovascular|alteracao_do_aparelho_respiratorio|aperto_no_peito,"Percebi um padrão: eu não sei se é estresse, mas tem me incomodado bastante. Tenho episódios de batimento acelerado quando eu paro pra descansar. Parece que eu não consigo encher o pulmão direito em alguns momentos. Em alguns momentos meu peito aperta e eu fico mais tensa. Eu não sei se é estresse, mas tem me incomodado bastante."
alteracao_do_aparelho_cardiovascular|alteracao_do_aparelho_reprodutor|alteracao_do_aparelho_respiratorio|aperto_no_peito|sintoma_hormonal,"De forma objetiva, doutora, eu queria entender se isso é normal ou se eu deveria investigar. Isso aparece em fases específicas, então eu suspeito de hormônio. Tenho percebido palpitações e um mal-estar rápido. Notei mudança no fluxo menstrual, veio mais intenso. Tenho sensação de garganta irritada e peito 'pesado' pra respirar. Eu não queria exagerar, mas achei melhor comentar."
aperto_no_peito|fadiga_persistente|sintoma_hormonal,"Observei que eu fico insegura se é algo sério. Eu sinto que estou sempre no limite, sem bateria. Eu fico com o peito apertado e dá vontade de suspirar o tempo todo. Sinto inchaço e mudanças no corpo que eu acho que são hormonais. Eu fico insegura se é algo sério."
alteracao_do_aparelho_digestivo|alteracao_do_aparelho_reprodutor|dor_de_cabeca_frequente|sintoma_hormonal,"Ah doutora, eu tento levar, mas tem dias que pesa. Tem dias que é enxaqueca, fica latejando e me derruba. Minha menstruação veio diferente, com manchas e dor. Tenho ondas de calor e suor noturno de vez em quando, acho que é hormonal. Tenho refluxo e queimação depois de comer. Eu vim mais pra checar e não deixar acumular."
alteracao_do_aparelho_digestivo|alteracao_do_aparelho_reprodutor|fadiga_persistente,"Então, eu só queria uma orientação do que fazer. Meu intestino está desregulado, alterna entre preso e solto. Eu me sinto exausta desde cedo e vou piorando ao longo do dia. Tenho sangramento irregular e cólicas que não eram assim antes. Eu pensei que fosse fase, mas não está passando."
alteracao_do_aparelho_cardiovascular|dor_de_cabeca_frequente|sintoma_hormonal,"Olha, eu vim mais pra checar e não deixar acumular. Eu notei queda de cabelo e mudanças que parecem hormonais. Minha cabeça dói com frequência e às vezes dá náusea junto. Eu pensei que fosse fase, mas não está passando."
isolamento_social|sintoma_hormonal,"Tipo, eu fico insegura se é algo sério. Eu me afastei um pouco das minhas amigas sem perceber. Tenho ondas de calor e suor noturno de vez em quando, acho que é hormonal. Eu só queria uma orientação do que fazer."
dor_de_cabeca_frequente|risco_violencia_domestica,"Sei lá, eu só queria uma orientação do que fazer. Às vezes eu fico tensa só de pensar em falar como eu estou me sentindo em casa. Tem dias que é enxaqueca, fica latejando e me derruba. Eu tento levar, mas tem dias que pesa."
alteracao_do_aparelho_digestivo|alteracao_do_aparelho_reprodutor|dor_de_cabeca_frequente|fadiga_persistente,"Tenho notado que eu pensei que fosse fase, mas não está passando. Eu fico com o estômago embrulhado quando estou preocupada. A dor vem atrás dos olhos e piora com luz. Tenho sangramento irregular e cólicas que não eram assim antes. Eu sinto que estou sempre no limite, sem bateria. Eu percebi isso mais nas últimas semanas."
